Finnish-TDT fi train
Finnish-FTB fi train
Komi_Zyrian-IKDP kpv test
Karelian-KKPP krl test
Afrikaans-AfriBooms
Akkadian-PISANDUB akk test
Amharic-ATT amh test
Ancient_Greek-PROIEL grc train
Ancient_Greek-Perseus grc train
Arabic-PADT ara train
Arabic-PUD ara train
Arabic-NYUAD ara train
Armenian-ArmTDP arm train
Assyrian-AS as test 
Bambara-CRB bam test
Basque-BDT eus train
Belarusian-HSE bel train
Breton-KEB bre train
Bulgarian-BTB bul train
Buryat-BDT bur test
Cantonese-HK zh train
Catalan-AnCora cat train
Chinese-GSD zh train
Chinese-PUD zh train
Chinese-HK zh train
Chinese-CFL zh train
Classical_Chinese-Kyoto zh train
Coptic-Scriptorium cop train
Croatian-SET hsb train
Czech-PDT cs train
Czech-CAC cs train
Czech-FicTree cs train
Czech-PUD cs train
Czech-CLTT cs train
Danish-DDT da train
Danish-DTB da train
Dutch-Alpino nl train
Dutch-LassySmall nl train
English-ParTUT en train
English-GUM en train
English-EWT en train
English-PUD en train
English-LinES en train
English-ESL en train
Erzya-JR myv test
Estonian-EDT et train
Estonian-EWT et train
Faroese-OFT fao train
Finnish-FTB fi train
Finnish-TDT fi train
Finnish-PUD fi train
French-ParTUT fr train
French-GSD fr train
French-Sequoia fr train
French-FQB fr train
French-Spoken fr train
French-PUD fr train
French-FTB fr train
French-CrapBank fr train
Galician-TreeGal gl train
Galician-CTG gl train
German-GSD de train
German-HDT de train
German-PUD de train
German-LIT de train
Gothic-PROIEL got train
Greek-GDT el train
Hebrew-HTB hb train
Hindi-HDTB hin train
Hindi-PUD hin train
Hindi_English-HIENCS en train
Hungarian-Szeged hu train
Indonesian-GSD id train
Indonesian-PUD id train
Irish-IDT ga train
Italian-ISDT it train
Italian-VIT it train
Italian-ParTUT it train
Italian-PoSTWITA it train
Italian-PUD it train
Japanese-GSD ja train
Japanese-PUD ja train
Japanese-Modern ja train
Japanese-BCCWJ ja train
Japanese-KTC ja train
Karelian-KKPP krl test 
Kazakh-KTB kaz test
Komi_Zyrian-IKDP kpv test
Komi_Zyrian-Lattice kpv test
Korean-Kaist kr train
Korean-GSD kr train
Korean-PUD kr train
Korean-Penn kr train
Korean-Sejong kr train
Kurmanji-MG kur test
Latin-PROIEL lat train
Latin-ITTB lat train
Latin-Perseus lat train
Latvian-LVTB lv train
Lithuanian-ALKSNIS lt train
Lithuanian-HSE lt train
Maltese-MUDT mlt train
Marathi-UFAL mar train
Mbya_Guarani-Thomas gu train
Mbya_Guarani-Dooley gu train
Naija-NSC nai train
North_Sami-Giella sme train
Norwegian-Bokmaal nob train
Norwegian-Nynorsk nn train
Norwegian-NynorskLIA nn train
Old_Church_Slavonic-PROIEL slv train
Old_French-SRCMF fra train
Old_Russian-TOROT ruf train
Old_Russian-RNC ruf train
Persian-Seraji far train
Polish-PDB pl train
Polish-LFG pl train
Polish-PUD pl train
Portuguese-Bosque pt train
Portuguese-GSD pt train
Portuguese-PUD pt train
Romanian-RRT ro train
Romanian-Nonstandard ro train
Russian-GSD ru train
Russian-SynTagRus ru train
Russian-Taiga ru train
Russian-PUD ru train
Sanskrit-UFAL sa train
Serbian-SET sb train
Slovak-SNK slo train
Slovenian-SSJ slv train
Slovenian-SST slv train
Spanish-AnCora es train
Spanish-GSD es train
Spanish-PUD es train
Swedish-Talbanken se train
Swedish-LinES se train
Swedish-PUD se train
Swedish_Sign_Language-SSLC ssl train
Tagalog-TRG tg train
Tamil-TTB tam train
Telugu-MTG tg train
Thai-PUD th train
Turkish-IMST tr train
Turkish-GB tr train
Turkish-PUD tr train 
Turkish-BOUN tr train
Ukrainian-IU uk train
Upper_Sorbian-UFAL hsb train
Urdu-UDTB urd test
Uyghur-UDT uig test
Vietnamese-VTB vi train
Warlpiri-UFAL wa train
Welsh-CC cy trainG
Wolof-WTB wol train
Yoruba-YTB yo train
